i,o,d,azimuth,arc,o_area,d_area,grid_dist
190,162,58,-92.4484,12.4389,0.619892,1.69359,15.0247
191,136,155,162.688,6.18059,1.87808,1.7136,6.3274
192,14,27,19.3438,4.75151,1.64898,2.13493,6.62049
193,179,403,122.038,1.13543,1.13492,0.870607,1.6062
194,123,358,-2.75405,5.1457,0.710437,0.894648,6.17615
195,286,349,133.397,13.1477,2.28737,0.917168,18.0316
196,263,117,-121.32,26.2307,2.75451,0.856662,32.3667
197,29,325,58.0001,11.0705,2.01379,1.40343,13.7145
198,211,115,-94.6596,6.7408,0.87991,2.23047,7.94022
199,266,30,-104.112,23.2779,0.906396,2.54249,24.0068
201,255,378,-120.128,25.7878,2.49985,0.483672,31.4326
202,190,13,-114.973,23.3349,1.57965,1.81345,26.7958
203,243,271,52.6726,10.1936,2.18563,2.01715,13.2424
204,15,116,42.3173,15.3326,2.01683,1.89197,21.1116
205,158,151,-101.593,5.08024,0.870327,2.26984,5.4546
206,445,216,50.1298,12.9291,0.932443,1.55574,17.087
207,113,439,-64.0092,3.90186,0.978771,0.838168,5.51972
208,64,3,-91.3328,7.22456,1.52754,2.23449,8.83699
209,367,229,29.5177,21.9053,0.592287,1.37489,30.9744
210,165,433,13.4146,14.0664,0.482888,0.912284,19.1334
211,406,208,55.5354,9.9578,0.414504,1.42226,12.6297
212,372,65,-172.125,4.86049,1.09844,1.85623,6.40415
213,217,93,-127.799,21.2466,0.925552,0.931073,27.6916
214,322,362,113.331,6.68234,2.00078,0.616388,9.42192
215,400,447,56.9443,22.3527,1.01401,1.37388,27.9678
216,376,355,69.8004,7.19245,0.657116,1.57198,7.72088
217,394,156,-5.34401,5.90052,1.92365,1.60087,6.87263
218,173,20,-109.111,17.512,1.51741,2.62577,18.5198
219,427,86,-107.062,3.5186,0.5004,1.12296,3.59561
220,42,85,20.1129,14.569,1.65002,3.06446,20.3433
222,430,375,-129.002,20.9401,0.855161,0.739681,27.5236
223,364,178,73.0633,4.65577,0.308877,0.841034,4.75095
224,7,401,112.254,22.7529,2.64471,0.703904,32.0197
225,219,325,-132.954,17.1716,1.10468,1.40343,23.1362
226,67,59,3.85207,2.83206,2.54402,1.29884,3.62112
227,269,137,-97.4186,13.0054,0.872352,1.88054,14.7945
228,169,141,-144.686,9.31025,1.66194,0.499072,13.0929
229,59,104,21.8461,12.3678,1.29884,1.48667,17.3443
230,7,186,117.547,23.4403,2.64471,1.17155,33.1973
231,332,146,-6.48242,13.6265,0.341666,2.00477,15.653
232,402,187,-0.160233,11.563,0.64215,1.01372,14.2434
235,103,72,-172.169,17.5835,3.08273,0.812467,23.1575
236,432,53,-104.87,15.951,0.720339,2.26283,16.2564
237,422,1,146.698,3.83939,0.641813,0.667705,4.80999
238,349,99,-101.026,12.8403,0.917168,1.04803,13.9057
239,176,178,177.203,16.9798,2.55333,0.841034,20.3571
240,102,275,-59.5659,12.4621,0.960198,1.13975,17.6471
241,417,98,-49.3523,7.29365,0.3888,1.31794,10.1165
242,146,246,80.2047,14.1202,2.00477,0.717982,15.5771
243,140,275,-83.8,15.3153,1.20027,1.13975,20.0005
244,285,370,-117.291,8.26331,2.24744,0.921297,9.74776
245,280,375,-135.749,20.1646,1.20217,0.739681,27.5534
246,70,356,64.2636,12.916,1.2516,1.09758,14.9481
247,317,293,88.3696,21.5811,2.50369,2.59383,26.3416
248,125,171,74.011,6.01743,2.08132,2.37226,6.03994
249,35,450,40.0442,16.0313,1.18783,1.27784,22.2631
250,126,375,-89.3961,5.8234,0.434154,0.739681,7.25671
251,235,76,-131.469,27.1515,1.39659,1.75694,36.2724
252,104,6,80.2943,14.8977,1.48667,1.58318,16.466
253,84,229,-36.0862,7.70124,2.02414,1.37489,9.89977
254,86,20,-22.2466,12.2761,1.12296,2.62577,13.5408
255,218,386,-149.462,24.3607,1.38041,0.554403,34.4392
256,277,49,38.2264,8.4077,2.06588,2.11431,11.7392
257,158,319,-101.006,25.2125,0.870327,2.12158,27.3075
258,257,59,-127.855,32.15,2.53664,1.29884,41.9338
259,18,217,61.1672,27.7487,1.84612,0.925552,33.2718
260,188,258,69.4164,9.10776,0.687633,0.83414,9.85111
261,434,184,41.3895,3.37434,1.07103,1.09386,4.66636
262,451,358,-112.353,10.7299,1.3233,0.894648,11.9028
263,365,174,40.4224,7.43968,0.591069,0.726381,10.3217
264,81,311,48.7765,21.0059,1.81544,1.56009,27.9914
265,293,116,-70.8736,7.05402,2.59383,1.89197,9.84522
268,424,393,70.6877,6.17996,0.376448,1.31808,6.54469
269,450,416,172.326,6.23656,1.27784,0.583255,7.05746
270,68,305,-48.9125,5.50509,1.07278,1.46521,7.62092
271,253,34,-113.913,27.8703,1.5057,2.26404,31.599
272,122,375,-97.1033,6.24337,0.547299,0.739681,7.14291
274,216,442,-108.168,15.0156,1.55574,1.03723,15.6573
