i,o,d,azimuth,arc,o_area,d_area,grid_dist,o_km_from_sub,d_km_from_sub,crosses_sub,real_flow,weight
87262,429,120,-45.2797,1.26357,1.22585,2.06116,1.72218,1.34542,2.52033,FALSE,70.0412,4.2635238957794443e-5
7463,57,139,91.581,8.69001,1.56687,0.502924,10.9338,1.22803,1.06887,TRUE,7.8267,2.2076935817742143e-6
186274,157,231,58.604,9.57631,2.53252,0.854883,11.8099,3.88314,0.485046,FALSE,0,5.818391211823652e-6
65795,360,415,119.307,7.63307,1.05659,0.380204,10.8127,3.01695,0.0395906,TRUE,22.3636,1.136981065550539e-6
96940,146,151,74.1136,2.01096,2.00477,2.26984,2.01555,1.97923,3.99399,FALSE,16.1926,7.499142626640947e-5
131844,328,309,-81.5751,6.00421,1.35958,2.07309,7.95801,4.28865,6.59353,FALSE,1.18644,1.3394472476399306e-5
44363,433,136,-108.429,7.52956,0.912284,1.87808,7.88026,3.30815,0.947638,FALSE,15.9556,8.235901852383612e-6
126546,381,407,118.444,3.82015,0.856569,0.536268,5.41147,0.210836,0.536104,TRUE,12.2461,3.5119847834033007e-6
35748,175,319,-91.0784,22.6278,2.4046,2.12158,27.7177,4.56898,12.2266,TRUE,0,3.3969971668712635e-6
114625,416,359,-60.2649,8.49826,0.583255,1.3117,12.0375,0.0342637,2.82781,TRUE,32.648,2.049177889133233e-6
178689,440,160,-85.9507,10.7376,0.664025,2.32924,13.7774,3.90222,5.70532,FALSE,0,3.6126242066776076e-6
119108,255,454,-50.5209,2.36076,2.49985,0.969905,3.28928,3.81247,3.02391,FALSE,10.128,3.271213153118998e-5
72952,235,231,-153.628,2.3723,1.39659,0.854883,3.34997,2.74691,0.485046,FALSE,25.5215,1.58453599019321e-5
30439,436,285,-112.608,14.4491,1.14058,2.24744,16.092,1.65218,1.34476,TRUE,0,5.010907079064733e-6
89059,56,73,169.973,5.18148,1.78471,2.8281,5.68547,5.02113,4.64317,FALSE,16.1949,3.628967218799062e-5
191699,304,24,-52.6602,2.27255,1.70634,1.31149,3.18368,0.987606,2.67476,FALSE,9.01084,3.1018318865715814e-5
193856,266,113,73.4842,1.94008,0.906396,0.978771,1.96887,1.16391,2.20886,FALSE,23.7176,1.4674156927839943e-5
108929,374,49,-5.97288,8.96933,1.72157,2.11431,10.3808,2.08305,5.52689,FALSE,15.3665,1.078618856913785e-5
6009,322,302,-36.3714,7.34647,2.00078,1.90947,9.44847,3.81077,8.40987,FALSE,0,1.3273615161375034e-5
198918,448,396,127.692,2.09822,1.17333,0.668205,2.93785,2.81947,1.1458,FALSE,17.519,1.1480123117902502e-5
196590,271,248,-107.339,8.71334,2.01715,1.60443,8.97824,9.64526,2.33106,FALSE,1.02445,1.2497233805931204e-5
204883,131,286,-154.489,3.93701,1.64201,2.28737,5.555,0.750943,2.03132,FALSE,21.4245,2.7824043845963044e-5
192687,228,436,-15.8175,2.01593,1.10258,1.14058,2.01528,0.338641,1.65218,TRUE,12.0449,2.072512497369473e-5
17760,7,20,117.753,2.94332,2.64471,2.62577,4.1687,9.18427,6.4381,FALSE,18.497,7.164100268367399e-5
159523,44,19,-33.0422,5.21001,1.61248,2.11967,6.50911,6.76859,8.55316,FALSE,0,2.015089422842079e-5
187359,310,352,-91.3957,12.7552,1.96217,0.584284,15.569,1.51447,1.90663,TRUE,0,2.32013085846286e-6
3773,360,44,-79.5864,4.66757,1.05659,1.61248,6.26963,3.01695,6.76859,FALSE,40.6257,1.0619491815815574e-5
200192,184,307,-116.75,0.842302,1.09386,1.05525,0.988498,5.16545,5.19197,FALSE,10.6609,2.2674012013246538e-5
144969,11,301,121.827,1.62255,1.46246,1.24974,2.29525,7.44276,6.04288,FALSE,5.63478,2.9387731069119984e-5
50104,237,156,-103.602,10.8115,1.51771,1.60087,11.2417,2.19504,1.98611,TRUE,0,6.6663988505562365e-6
58489,144,55,-35.28,12.9506,0.987665,2.62349,16.5177,0.660859,4.37765,TRUE,23.0717,4.880829618290111e-6
185545,175,198,85.6867,2.55016,2.4046,1.85343,3.01615,4.56898,2.04668,FALSE,13.7611,6.420974390978583e-5
71801,401,195,163.522,0.639498,0.703904,1.31998,0.646188,0.0151891,0.65416,FALSE,25.1141,2.2797193417292608e-5
31222,398,10,-60.8703,3.29662,1.57458,2.22261,4.6698,1.99835,2.19968,FALSE,8.42042,3.1446936377804935e-5
71459,74,117,160.319,11.131,1.84235,0.856662,11.8237,2.01766,0.986882,TRUE,28.6116,4.24046734901233e-6
85408,20,53,73.5211,2.06299,2.62577,2.26283,2.08506,6.4381,4.52608,FALSE,10.5455,9.736681701735196e-5
126658,353,324,-9.68993,2.07098,0.942108,1.60028,2.28118,0.898116,1.23541,FALSE,43.8375,2.4276599871858973e-5
190866,10,91,67.5887,7.18244,2.22261,0.695919,7.95442,2.19968,0.963632,FALSE,13.0979,7.354708589670104e-6
167593,167,389,73.3208,0.765603,0.635606,1.21783,0.778071,1.26538,2.0327,FALSE,48.8265,1.7111495770844258e-5
93744,355,73,-77.2601,8.35488,1.57198,2.8281,11.3637,0.717197,4.64317,TRUE,15.2386,1.2121362261181701e-5
196321,156,45,-97.3831,12.5517,1.60087,1.86499,14.3026,1.98611,4.09431,TRUE,0,6.527597700886564e-6
68423,104,255,73.0058,21.2167,1.48667,2.49985,21.6546,0.732807,3.81247,TRUE,0,4.02255406336049e-6
176111,183,201,83.8027,3.01684,0.96531,1.20268,3.48837,0.0423501,0.883629,FALSE,30.7023,1.4813236073125302e-5
180975,138,324,-129.546,2.65055,1.70384,1.60028,3.49499,0.0365006,1.23541,TRUE,9.41191,3.472196641836319e-5
35931,315,318,-53.7128,2.00877,2.16993,2.53384,2.82119,10.3304,12.2312,FALSE,21.3985,8.231639771712207e-5
61123,445,282,-73.1837,6.18935,0.932443,1.23016,8.57126,0.026849,2.1733,TRUE,28.507,4.859486368923151e-6
154053,445,389,128.871,3.41898,0.932443,1.21783,4.77063,0.026849,2.0327,TRUE,29.7887,9.963184840082618e-6
97084,46,272,-40.6047,8.21581,1.16412,1.78619,10.8965,5.60668,10.9957,FALSE,0,5.843186167375154e-6
166628,19,103,72.8706,8.54433,2.11967,3.08273,8.72875,8.55316,2.13959,FALSE,30.6196,2.6725927916313576e-5
182945,294,270,73.4869,4.64948,1.35413,2.4,4.71831,3.8968,6.54314,FALSE,0,2.8866205159828322e-5
16207,290,449,150.966,6.31306,2.51167,1.67726,7.58243,1.93567,4.04424,FALSE,7.54536,2.10523392523062e-5
43201,308,293,-151.599,8.90777,1.93637,2.59383,12.5942,6.51226,3.85785,FALSE,0,1.3309909704956635e-5
102261,285,18,-116.78,12.1858,2.24744,1.84612,14.2892,1.34476,5.82835,TRUE,0,9.083835066691224e-6
110594,318,27,52.252,6.39015,2.53384,2.13493,8.30993,12.2312,7.74161,FALSE,0,2.4191104970585903e-5
67479,5,371,76.6173,5.8317,1.60997,1.05725,6.10823,6.75794,5.66327,FALSE,4.22609,1.103899632790329e-5
112742,451,147,-76.5678,5.96096,1.3233,2.72202,8.13325,3.33022,1.81458,FALSE,13.9022,1.6638152049104145e-5
104587,175,451,148.517,3.10237,2.4046,1.3233,3.82369,4.56898,3.33022,FALSE,16.4661,3.659632246350249e-5
74245,331,407,-95.1408,3.36239,0.714522,0.536268,3.93828,1.31215,0.536104,FALSE,24.818,4.248652041306259e-6
12856,40,63,79.0715,3.3185,2.27091,2.01899,3.6071,7.12594,4.52932,FALSE,11.2792,5.644570259813963e-5
17782,215,360,-101.775,16.3218,1.89983,1.05659,17.4713,0.563546,3.01695,TRUE,0,3.33085041050516e-6
99518,98,425,165.792,6.10401,1.31794,0.521493,6.28075,1.85811,0.00545791,TRUE,17.4929,4.272357210860425e-6
174794,128,398,-123.457,10.1786,0.507688,1.57458,12.7919,0.870255,1.99835,TRUE,81.3844,2.0975798721729767e-6
190683,237,262,30.328,11.2638,1.51771,3.08878,15.9258,2.19504,7.46226,FALSE,4.54039,9.275521373714713e-6
7326,274,113,70.3171,30.1243,1.58257,0.978771,32.0541,7.70517,2.20886,TRUE,3.89488,5.786475530082445e-7
50567,436,287,-104.189,12.8001,1.14058,2.13127,13.1859,1.65218,0.953222,TRUE,0,6.158030159531638e-6
172107,195,131,-35.9191,14.6214,1.31998,1.64201,18.758,0.65416,0.750943,TRUE,12.778,3.0642603813518602e-6
3781,446,106,-98.8279,8.65987,1.1571,0.966679,9.67792,2.96568,1.18165,TRUE,6.23604,3.7087260369703687e-6
200724,130,190,91.6818,7.75844,2.22652,1.57965,9.76411,5.06918e-4,3.29759,FALSE,7.06093,1.147172938459253e-5
185314,290,149,74.3976,1.97527,2.51167,2.86329,1.9895,1.93567,3.907,FALSE,10.3028,1.1876204509751855e-4
56244,127,350,59.25,6.48728,0.431199,0.856806,7.945,0.437741,1.152,TRUE,11.3915,1.7592802640136654e-6
15729,146,441,-148.926,3.0135,2.00477,1.83109,4.25902,1.97923,0.017710299999999998,TRUE,11.8384,3.6856118115861067e-5
198497,111,323,115.034,1.32777,1.63083,1.80489,1.87662,2.40755,1.2697,FALSE,25.3485,4.9041162423730085e-5
15006,16,20,1.95331,15.7395,1.12874,2.62577,19.8039,3.21719,6.4381,FALSE,0,3.639057622137711e-6
71561,19,63,56.8813,6.01725,2.11967,2.01899,7.53205,8.55316,4.52932,FALSE,19.7159,2.1516101635605777e-5
51442,183,265,16.5787,9.20887,0.96531,1.58783,12.702,0.0423501,1.25016,TRUE,24.0499,4.042184331971931e-6
13232,55,387,168.681,15.1368,2.62349,0.990545,16.2976,4.37765,0.813333,TRUE,12.4006,4.995833872086862e-6
37008,138,151,25.4152,6.81609,1.70384,2.26984,9.61623,0.0365006,3.99399,FALSE,4.43794,1.2980772110602541e-5
21119,100,348,73.6996,14.8153,0.735432,1.23506,14.9415,1.99522,0.900689,TRUE,0,1.897541859427772e-6
150728,57,295,-30.6397,4.93533,1.56687,1.489,6.0233,1.22803,6.0049,FALSE,47.914,1.5453913705299456e-5
