Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1509975180,41.387,10.697,38.257,10.697,40.003,13.672
1509975240,40.387,9.697,37.257,9.697,39.003,12.672
1509975300,39.387,8.697,36.257,8.697,38.003,11.672
1509975360,38.387,7.697,35.257,7.697,37.003,10.672
1509975420,37.387,6.697,34.257,6.697,37.387,12.545
1509975480,36.387,5.697,33.257,5.697,36.387,11.545
1509975540,35.387,4.697,32.257,4.697,35.387,10.545
1509975600,34.387,3.697,31.257,3.697,37.239,14.086
1509975660,33.387,2.697,30.257,2.697,36.239,13.086
1509975720,32.387,1.697,29.257,1.697,35.239,12.086
1509975780,34.239,7.019,32.957,7.019,34.239,11.086
1509975840,33.239,6.019,31.957,6.019,39.932,16.144
1509975900,32.239,5.019,30.957,5.019,38.932,15.144
1509975960,31.239,4.019,29.957,4.019,37.932,14.144
1509976020,30.239,3.019,28.957,3.019,36.932,13.144
1509976080,29.239,2.019,27.957,2.019,35.932,12.144
1509976140,34.932,4.972,34.007,4.972,34.932,11.144
1509976200,33.932,3.972,33.007,3.972,52.43,25.134
1509976260,32.932,2.972,32.007,2.972,51.43,24.134
1509976320,31.932,1.972,31.007,1.972,50.43,23.134
1509976380,30.932,1.902,30.007,1.902,49.43,22.134
1509976440,48.43,6.601,38.407,6.601,48.43,21.134
1509976500,47.43,5.601,37.407,5.601,47.43,20.134
1509976560,46.43,4.601,36.407,4.601,46.43,19.134
1509976620,45.43,3.601,35.407,3.601,45.43,18.134
1509976680,44.43,2.601,34.407,2.601,44.43,17.134
1509976740,43.43,5.696,35.757,5.696,43.43,16.134
1510052400,31.4,4.235,32.273,4.235,31.4,11.913
1510052460,30.4,3.235,31.273,3.235,30.4,10.913
1510052520,29.4,2.235,30.273,2.235,39.018,18.134
1510052580,28.4,4.611,29.273,4.611,38.018,17.134
1510052640,27.4,3.611,28.273,3.611,37.018,16.134
